,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@CollinRugg This is next-level,657,93,2023-05-12 07:05:32+00:00
1,elonmusk,As seen by an unaffected third party,1528,109,2023-05-12 07:04:51+00:00
2,elonmusk,Wow https://t.co/xl869dfxSR,5661,1003,2023-05-12 06:56:51+00:00
3,elonmusk,@icreatelife 🤣🤣,334,21,2023-05-12 06:53:16+00:00
4,elonmusk,The most entertaining outcome is the most likely,14714,1869,2023-05-12 06:49:10+00:00
5,elonmusk,@ZubyMusic Semaglutide actually works,600,53,2023-05-12 06:46:09+00:00
6,elonmusk,@teslaownersSV Yup,796,62,2023-05-12 06:43:42+00:00
7,elonmusk,@JeffKirdeikis Random partial reinforcement is powerful 👀,962,74,2023-05-12 06:43:07+00:00
8,elonmusk,@KanekoaTheGreat @EndWokeness It will get better rapidly,1154,122,2023-05-12 06:37:01+00:00
9,elonmusk,@dvorahfr It is remarkable that Sparta had no walls when all the other cities did,1051,88,2023-05-12 06:32:09+00:00
10,elonmusk,economic enema en route,16647,1957,2023-05-12 06:26:23+00:00
11,elonmusk,Event Horizon Balance Beam,13738,1447,2023-05-12 05:52:26+00:00
12,elonmusk,@fasc1nate Car suspensions were so bad back then!,1568,104,2023-05-12 05:47:48+00:00
13,elonmusk,@Lukewearechange That will not be the case,6957,586,2023-05-12 05:46:45+00:00
14,elonmusk,@HumansNoContext 🤣,2327,114,2023-05-12 05:26:10+00:00
15,elonmusk,@iamjosuep @hardmaru 🤣,371,27,2023-05-12 05:03:25+00:00
16,elonmusk,@SmokeAwayyy @Scobleizer A spire,1560,106,2023-05-12 04:52:18+00:00
17,elonmusk,@TrungTPhan Taco Bell’s breakfast crunchwrap is good,1410,90,2023-05-12 01:47:34+00:00
18,elonmusk,@micsolana There was a time before tv or even radios. Just whisky &amp; cards.,14753,1067,2023-05-12 01:32:13+00:00
19,elonmusk,@alx The commitment to open source transparency and accepting a wide range of viewpoints remains unchanged,20856,2213,2023-05-12 01:29:50+00:00
20,elonmusk,@cb_doge 💯,1995,161,2023-05-12 00:58:21+00:00
