,user,text,favorite_count,retweet_count,created_at
0,SudhanshuTrived,"आज अपनी यात्रा के 100 पायदान पूरा कर चुका मन की बात #ManKiBaat100 का कार्यक्रम समाज की छोटी से छोटी गतिविधियों के प्रति प्रधानमंत्री श्री @narendramodi जी की सूक्ष्म गहन दृष्टि व संवेदनशीलता का प्रमाण है जिसे समझने के लिए विराट व विशुद्ध भारतीय मन की आवश्यकता है।
सत्ता की राजनीति… https://t.co/bQwyd1gcer https://t.co/pG1mjwaxHz",3719,854,2023-04-30 14:40:37+00:00
1,SudhanshuTrived,From 5 to 5.45 pm I’m @aajtak,149,24,2023-04-30 11:15:12+00:00
2,SudhanshuTrived,"भारतीय राजनीति में भाषा के स्तर का गिरना 2007 गुजरात चुनावों में शुरू हुआ था। जब सोनिया जी ने मोदी जी के लिए “मौत का सौदागर” जैसे शब्दों का इस्तेमाल किया था।

और फिर बोटी-बोटी काटना,हिटलर की मौत,कब्र खुदेगी जैसे बयान

इसी मोहब्बत की दुकान की दुकान की बात कर रहे थे राहुल गांधी? https://t.co/8bVUlH2wAb",3499,985,2023-04-30 11:10:06+00:00
3,SudhanshuTrived,From 1.05 to 1.50 pm I’m @TV9Bharatvarsh,130,21,2023-04-30 07:31:01+00:00
4,SudhanshuTrived,Listening #MannKiBaat100 https://t.co/kmEHVQlowd,1447,162,2023-04-30 05:36:20+00:00
5,SudhanshuTrived,Listen PM Sri @narendramodi ji #MannKiBaat100 https://t.co/xKBaJNxqaN,238,55,2023-04-30 04:59:40+00:00
6,SudhanshuTrived,From 6.05 to 6.50 pm I’m @indiatvnews,148,26,2023-04-30 01:39:50+00:00
7,SudhanshuTrived,"BJP के पास आने वाले 25 साल में विकसित कर्नाटक के विजन का रोडमैप है, कांग्रेस के नेता बस रिटायरमेंट के नाम पर वोट मांग रहे हैं। PM Sri  ⁦@narendramodi⁩  ji https://t.co/KQV4v5aBFQ",4165,1039,2023-04-29 16:58:00+00:00
8,SudhanshuTrived,From 5.05 to 5.45 pm I’m @ABPNews,150,16,2023-04-29 11:29:51+00:00
9,SudhanshuTrived,"“अगर वो मोदी को गाली देते हैं, मैं इसे उपहार मानता हूँ, कांग्रेस गाली देने में समय बर्बाद करती रहेगी, मैं जनता जनार्दन की सेवा में अपने आप को खपाता रहूंगा”

कर्नाटक पब्लिक रैली के अपने संबोधन में PM श्री@narendramodi जी https://t.co/YPo1V1YFTU",3670,817,2023-04-29 11:22:31+00:00
10,SudhanshuTrived,"'फार्मास्युटिकल' के निर्यात का बाजार तेज रफ़्तार से बढ़ा रही है @narendramodi सरकार

2013-14 की तुलना में वित्त वर्ष 2022-23 में दवाओं के निर्यात में दोगुना से अधिक वृद्धि दर्ज की गई है, जो दुनिया भर के मेडिकल सेक्टर में भारत का दबदबा बढ़ा रहा है। ⁦@BJP4India⁩ https://t.co/FIvHSp0eev",1125,206,2023-04-28 13:23:02+00:00
11,SudhanshuTrived,From 6.05 to 6.50 pm I’m @indiatvnews,168,24,2023-04-28 12:38:23+00:00
12,SudhanshuTrived,From 5.05 to 5.50 pm I’m @ZeeNews,202,23,2023-04-28 11:26:55+00:00
13,SudhanshuTrived,"हमने कर्नाटका में जो 5 साल में किया वो अन्य सरकारों में वर्षों में नहीं हुआ, चाइना से हटकर आईफ़ोन की फ़ैक्ट्री  व सेमीकंडक्टर की पहली फ़ैक्ट्री कर्नाटका में, Helicopter Factory. बेंगलुरु-मेसुरु एक्सप्रेसवे, बैंगलुरु में डिफ़ेंस Defence Expo हुआ 34 देशों के रक्षा मंत्री आए। https://t.co/thdJOeWTsO",6137,1551,2023-04-27 17:06:22+00:00
14,SudhanshuTrived,From 8.05 to 8.50 pm I’m @TNNavbharat,146,22,2023-04-27 14:28:21+00:00
15,SudhanshuTrived,From 7.05 to 7.50 pm I’m @Republic_Bharat,145,27,2023-04-27 13:32:46+00:00
16,SudhanshuTrived,"PM श्री ⁦@narendramodi⁩ जी के लिए जितना ज़हर उगलना है उगलिए पर वो तो बाबा विश्वनाथ के क्षेत्र से सांसद हैं और सीख कर विष धारण करके भी समाज कल्याण में लगे रहेंगे 
“मैं मधु से अनभिज्ञ आज भी
जीवन भर विषपान किया है।
किया नहीं विध्वंस विश्व का
जीवन भर निर्माण किया है॥” https://t.co/lM8aP8Cd7H",7868,2111,2023-04-27 13:31:35+00:00
17,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,166,24,2023-04-27 12:29:37+00:00
18,SudhanshuTrived,From 5.30 to 5.50 pm I’m @ABPNews,107,20,2023-04-27 12:29:12+00:00
19,SudhanshuTrived,From 5.05 to 5.50 pm I’m @news24tvchannel,138,17,2023-04-27 11:56:59+00:00
20,SudhanshuTrived,"दिल्ली PWD के नियमों का वो क्लॉज़ बताएं जिसके तहत विदेशी मार्बल और महँगी चीज़ लगाने का अधिकार है वो भी बग़ैर किसी अनुमति के। ये कौनसी हवा आपको लगी कि आपको लाखों रुपये के पंखे की हवा चाहिए थी? कौनसे राज छुपाना चाहते थे जो अक करोड़ के परदे लगे? 
नई राजनीति का ये चकाचौंध चेहरा देख… https://t.co/T1d7UMlotx https://t.co/KQzffvLq0q",5524,1597,2023-04-27 09:18:57+00:00
21,SudhanshuTrived,"My Press Conference @BJP4India Head Office today. 

https://t.co/HIzS8iUAoD https://t.co/gzC0y82mnX",548,115,2023-04-27 08:09:45+00:00
22,SudhanshuTrived,"कैबिनेट बैठक में देश में 157 नए सरकारी नर्सिंग कॉलेज खोलने का निर्णय देश की स्वास्थ्य सेवाओं के सुदृढ़ीकरण में यह अहम कदम साबित होगा, साथ ही युवाओं को नए अवसर प्राप्त होंगे। 

माननीय प्रधानमंत्री श्री @narendramodi जी और @mansukhmandviya जी का आभार। https://t.co/1Hg5oBpPrb",986,188,2023-04-27 01:26:11+00:00
23,SudhanshuTrived,"कांग्रेस हम पर कर्नाटक में हिंदू मुस्लिम का आरोप लगाती है,वो इस बात का जवाब दें कि हम तो हम्फी महोत्सव मनाते थे टीपू जयंती किसने शुरू की,फिर इमरान प्रतापगढ़ी जिसने अतीक अहमद मुख़्तार अंसारी जैसे बाहुबली की शान में शेर पढ़े उसी में कांग्रेस को चुनाव का स्टार प्रचारक कैसे नज़र आया? https://t.co/tWok2uTBDH",6585,1905,2023-04-26 18:20:31+00:00
24,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,197,21,2023-04-26 12:28:14+00:00
25,SudhanshuTrived,"जो पूर्ण राज्य भी नहीं उसके CM आवास के VIP वैभव के बचाव में PM आवास की व्यवस्था से तुलना जहां SPG कवर व कई सिक्यूरिटी लेयर्स होती है,जो सुरक्षा की दृष्टि से दुनिया के सबसे संवेदनशील आवासों में से एक है उससे करना “बचकाना” है या “शातिराना” ये जनता स्व विवेक से तय करे https://t.co/hVIepQLJa4",10257,3007,2023-04-26 01:52:48+00:00
26,SudhanshuTrived,"एक पुराना शेर है

“ख़ुदा जब हुस्न देता है,
नज़ाकत आ ही जाती है,
कदम गिन-गिन के रखें पर
कमर बल खा ही जाती है”

ये अपने AAP को आम आदमी के इकलौते,सबसे अलग व नई राजनीति के प्रतिनिधि होने के दावेदार केजरीवाल जी के सरकारी आवास के VIP वैभव व उसे सही ठहराने के प्रयास पर सटीक बैठता है। https://t.co/jCASGXr5TW",7918,2390,2023-04-26 01:36:33+00:00
